"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Spa","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Verte 57, 4900 Spa,BEL",,,"Created 10 records in table ""Full_Table"""
"Spalbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Spermalie","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Spiennes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Beaumont 198, 7032 Mons,BEL",,,"Created 10 records in table ""Full_Table"""
"Spiere","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Spiere-Helkijn","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Spontin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Dinant 13, 5530 Yvoir,BEL",,,"Created 10 records in table ""Full_Table"""
"Spouwen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Sprimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Fond Leval 2, 4140 Sprimont,BEL",,,"Created 10 records in table ""Full_Table"""
"Spy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Saussin 51, 5190 Jemeppe-sur-Sambre,BEL",,,"Created 10 records in table ""Full_Table"""
"Stabroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Staden","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stalhille","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stambruges","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Paul-Emile Janson 7, 7973 Beloeil,BEL",,,"Created 10 records in table ""Full_Table"""
"Stave","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Bois Saint-Jean 65, 5646 Mettet,BEL",,,"Created 10 records in table ""Full_Table"""
"Stavele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stavelot","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Prume 1, 4970 Stavelot,BEL",,,"Created 10 records in table ""Full_Table"""
"Steendorp","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Steenhuffel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Steenhuize-Wijnhuize","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Steenkerke (W.-Vl.)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Steenkerque (Hainaut)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Mons 86, 7090 Braine-le-Comte,BEL",,,"Created 10 records in table ""Full_Table"""
"Steenokkerzeel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stekene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stembert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Jean Lambert 10, 4801 Verviers,BEL",,,"Created 10 records in table ""Full_Table"""
"Stene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Sterrebeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stevoort","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stokkem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stokrooie","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stoumont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/La Gleize 17, 4987 Stoumont,BEL",,,"Created 10 records in table ""Full_Table"""
"Straimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Place 6, 6887 Herbeumont,BEL",,,"Created 10 records in table ""Full_Table"""
"Strée (Hainaut)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 5, 6511 Beaumont,BEL",,,"Created 10 records in table ""Full_Table"""
"Strée-lez-Huy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/22 à, Quai d'Arona A/01, 4500 Huy,BEL",,,"Created 10 records in table ""Full_Table"""
"Strépy-Bracquegnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Joseph Wauters 52, 7110,BEL",,,"Created 10 records in table ""Full_Table"""
"Strijpen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Strijtem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Strombeek-Bever","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Stuivekenskerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Suarlée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 213b, 5020 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Sugny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Saint-Martin 24, 5550 Vresse-sur-Semois,BEL",,,"Created 10 records in table ""Full_Table"""
"Surice","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. d'Armes 18, 5600 Philippeville,BEL",,,"Created 10 records in table ""Full_Table"""
"Suxy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Chiny 59a, 6730 Tintigny,BEL",,,"Created 10 records in table ""Full_Table"""
"Tailles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Progrès 6, 1400 Nivelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Taintignies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Château 38, 7500 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Tamines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. du Président Roosevelt 102, 5060 Sambreville,BEL",,,"Created 10 records in table ""Full_Table"""
"Tarcienne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Philippeville 33, 5651,BEL",,,"Created 10 records in table ""Full_Table"""
"Tavier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue aux Haies 12, 4163 Anthisnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Taviers (Namur)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de la Hesbaye 189, 5310,BEL",,,"Created 10 records in table ""Full_Table"""
"Tavigny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de l'Eglise 15, 6660 Houffalize,BEL",,,"Created 10 records in table ""Full_Table"""
"Tellin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 4, 6927 Tellin,BEL",,,"Created 10 records in table ""Full_Table"""
"Templeuve","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Formanoir 8, 7520 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Temploux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 213b, 5020 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Temse","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tenneville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Bastogne 21, 6970 Tenneville,BEL",,,"Created 10 records in table ""Full_Table"""
"Teralfene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Terhagen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Termes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Taillis pré 99, 6200 Châtelet,BEL",,,"Created 10 records in table ""Full_Table"""
"Ternat","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tertre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Tournai 46, 7333 Saint-Ghislain,BEL",,,"Created 10 records in table ""Full_Table"""
"Tervuren","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Terwagne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte du Condroz 131/1, 4550 Nandrin,BEL",,,"Created 10 records in table ""Full_Table"""
"Tessenderlo","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Testelt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Teuven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Theux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Verte 57, 4900 Spa,BEL",,,"Created 10 records in table ""Full_Table"""
"Thiaumont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Marché aux Légumes 2, 6700 Arlon,BEL",,,"Created 10 records in table ""Full_Table"""
"Thieu","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Parijs-Brussel E19, E42, 7070 Le Rœulx,BEL",,,"Created 10 records in table ""Full_Table"""
"Thieulain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue d'Ath 9, 7900 Leuze-en-Hainaut,BEL",,,"Created 10 records in table ""Full_Table"""
"Thieusies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Bd Roosevelt 41, 7060 Soignies,BEL",,,"Created 10 records in table ""Full_Table"""
"Thiméon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Nachez 7, 6230 Pont-à-Celles,BEL",,,"Created 10 records in table ""Full_Table"""
"Thimister","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Centre 54, 4890 Thimister-Clermont,BEL",,,"Created 10 records in table ""Full_Table"""
"Thimister-Clermont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/La Minerie 19/8, 4890 Thimister-Clermont,BEL",,,"Created 10 records in table ""Full_Table"""
"Thimougies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de la Libération 1, 7911 Frasnes-lez-Anvaing,BEL",,,"Created 10 records in table ""Full_Table"""
"Thines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Maîtrise 7, 1400 Nivelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Thirimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Mons 47, 6500 Thirimont,BEL",,,"Created 7 records in table ""Full_Table"""
"Thisnes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Hesbaye 1b, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Thommen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Taillis pré 99, 6200 Châtelet,BEL",,,"Created 10 records in table ""Full_Table"""
"Thon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Millénaire 31, 5300 Andenne,BEL",,,"Created 10 records in table ""Full_Table"""
"Thorembais-les-Béguines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Charleroi, 1370 Perwez,BEL",,,"Created 10 records in table ""Full_Table"""
"Thorembais-Saint-Trond","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Moissons 4, 1360 Perwez,BEL",,,"Created 10 records in table ""Full_Table"""
"Thoricourt","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Obert de Thieusies 10, 7830 Silly,BEL",,,"Created 2 records in table ""Full_Table"""
"Thuillies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Beaumont 152, 6536 Thuin,BEL",,,"Created 10 records in table ""Full_Table"""
"Thuin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Rue 121, 6530 Thuin,BEL",,,"Created 10 records in table ""Full_Table"""
"Thulin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Commerce, 7370 Dour,BEL",,,"Created 10 records in table ""Full_Table"""
"Thumaide","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Sainte-Brigitte 96, 7971 Beloeil,BEL",,,"Created 10 records in table ""Full_Table"""
"Thy-le-Bauduin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/du village 40, 5621 Thy-le-Bauduin,BEL",,,"Created 10 records in table ""Full_Table"""
"Thy-le-Château","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. du Vieux Château 7, 5651,BEL",,,"Created 10 records in table ""Full_Table"""
"Thynes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL",,,"Created 10 records in table ""Full_Table"""
"Thys","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Pagodes 332, 1020 Bruxelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Tiegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tielen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tielrode","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tielt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tielt (Brabant)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tielt-Winge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tienen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tignée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Voie de Saive 1, 4630 Soumagne,BEL",,,"Created 10 records in table ""Full_Table"""
"Tihange","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/22 à, Quai d'Arona A/01, 4500 Huy,BEL",,,"Created 10 records in table ""Full_Table"""
"Tildonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tilff","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Laboulle 101, 4130 Esneux,BEL",,,"Created 10 records in table ""Full_Table"""
"Tillet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Allée des Hêtres 16, 6680 Sainte-Ode,BEL",,,"Created 10 records in table ""Full_Table"""
"Tilleur","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Cimetière 2, 4420 Saint-Nicolas,BEL",,,"Created 10 records in table ""Full_Table"""
"Tillier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Grand Champ 3, 5380 Fernelmont,BEL",,,"Created 10 records in table ""Full_Table"""
"Tilly","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chem. de la Bruyère des Censes 7, 1495 Villers-la-Ville,BEL",,,"Created 10 records in table ""Full_Table"""
"Tinlot","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Marche 24, 4557 Tinlot,BEL",,,"Created 10 records in table ""Full_Table"""
"Tintange","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/13 Rte d'Arlon, 8832 Rombach-Martelange, Luxembourg,BEL",,,"Created 10 records in table ""Full_Table"""
"Tintigny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Norulle 16, 6730 Tintigny,BEL",,,"Created 10 records in table ""Full_Table"""
"Tisselt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Toernich","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Marché aux Légumes 2, 6700 Arlon,BEL",,,"Created 10 records in table ""Full_Table"""
"Tohogne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Christophe Theate 40, 6941 Durbuy,BEL",,,"Created 10 records in table ""Full_Table"""
"Tollembeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tongeren","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tongerlo (Antwerpen)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tongerlo (Limburg)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tongre-Notre-Dame","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Place 24, 7950 Chièvres,BEL",,,"Created 10 records in table ""Full_Table"""
"Tongre-Saint-Martin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Place 24, 7950 Chièvres,BEL",,,"Created 10 records in table ""Full_Table"""
"Tongrinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 24, 5140 Sombreffe,BEL",,,"Created 10 records in table ""Full_Table"""
"Tontelange","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Au Village 114, 6717 Attert,BEL",,,"Created 10 records in table ""Full_Table"""
"Torgny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 3, 6767 Rouvroy,BEL",,,"Created 1 records in table ""Full_Table"""
"Torhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Tourinne (Liège)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Gilles 1, 4000 Liège,BEL",,,"Created 10 records in table ""Full_Table"""
"Tourinnes-la-Grosse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Beauvechain 56, 1320 Beauvechain,BEL",,,"Created 10 records in table ""Full_Table"""
"Tourinnes-Saint-Lambert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Cure 62, 1457 Walhain,BEL",,,"Created 10 records in table ""Full_Table"""
"Tournai","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Royale 82, 7500 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Tournay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Royale 82, 7500 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Tourpes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 5a, 7904 Leuze-en-Hainaut,BEL",,,"Created 7 records in table ""Full_Table"""
"Transinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Colline 58, 6890 Libin,BEL",,,"Created 10 records in table ""Full_Table"""
"Trazegnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Adolphe Rectem 55, 6183 Courcelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Treignes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Ternia 1, 5670 Viroinval,BEL",,,"Created 10 records in table ""Full_Table"""
"Trembleur","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Entre-Deux-Villes 16, 4670 Blegny,BEL",,,"Created 10 records in table ""Full_Table"""
"Tremelo","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Trivières","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Four à Chaux 23, 7100 La Louvière,BEL",,,"Created 10 records in table ""Full_Table"""
"Trognée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Trois-Ponts","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Joseph Lejeune 2, 4980 Trois-Ponts,BEL",,,"Created 10 records in table ""Full_Table"""
"Trooz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grand'Rue 250, 4870 Trooz,BEL",,,"Created 10 records in table ""Full_Table"""
"Tubize","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Mons 126 BIS, 1480 Tubize,BEL",,,"Created 10 records in table ""Full_Table"""
"Turnhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Uccle","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Ucimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Voie Jocquée 1, 6830 Bouillon,BEL",,,"Created 10 records in table ""Full_Table"""
"Uikhoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Uitbergen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Uitkerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Ukkel","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Ulbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Upigny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de la Bruyère 100, 5310 Éghezée,BEL",,,"Created 10 records in table ""Full_Table"""
"Ursel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vaalbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Val-Meer","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vance","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Semois 164, 6741 Étalle,BEL",,,"Created 2 records in table ""Full_Table"""
"Varendonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Varsenare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vaucelles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Martin Sandron 108, 5680 Doische,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaulx (Tournai)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Royale 82, 7500 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaulx-lez-Chimay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Virelles 18A, 6460 Chimay,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaux-Chavanne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Vicinal 19, 6960 Manhay,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaux-lez-Rosières","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Route 2, 6640 Vaux-sur-Sûre,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaux-sous-Chèvremont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Théodore Foguenne 1, 4051 Chaudfontaine,BEL",,,"Created 10 records in table ""Full_Table"""
"Vaux-sur-Sure","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Route 2, 6640 Vaux-sur-Sûre,BEL",,,"Created 10 records in table ""Full_Table"""
"Vechmaal","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vedrin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue St Nicolas 183, 5000 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Veerle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Velaines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Tram 37a, 5060 Sambreville,BEL",,,"Created 10 records in table ""Full_Table"""
"Velaine-sur-Sambre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Tram 37a, 5060 Sambreville,BEL",,,"Created 10 records in table ""Full_Table"""
"Veldegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Veldwezelt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vellereille-les-Brayeux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte Provinciale 16, 7120 Estinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Vellereille-le-Sec","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Waressaix 7, 7120,BEL",,,"Created 10 records in table ""Full_Table"""
"Velm","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Velroux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Avenir 7, 4460 Grâce-Hollogne,BEL",,,"Created 10 records in table ""Full_Table"""
"Veltem-Beisem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Velzeke-Ruddershove","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vencimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 84, 5575 Gedinne,BEL",,,"Created 10 records in table ""Full_Table"""
"Vergnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/rue du Bois du Four 3, 6441,BEL",,,"Created 8 records in table ""Full_Table"""
"Verlaine","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Autoroute Direction Liege, E42, 4537 Verlaine,BEL",,,"Created 6 records in table ""Full_Table"""
"Verlée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de Criel 11C, 5370 Havelange,BEL",,,"Created 10 records in table ""Full_Table"""
"Verrebroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vertrijk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Verviers","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pont Saint-Laurent 19, 4800 Verviers,BEL",,,"Created 10 records in table ""Full_Table"""
"Vesqueville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de l'Abbaye 1, 6870 Saint-Hubert,BEL",,,"Created 10 records in table ""Full_Table"""
"Veulen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Veurne","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vezin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Constant Dozo 1, 5380 Fernelmont,BEL",,,"Created 10 records in table ""Full_Table"""
"Vezon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Prisonniers 1, 7538 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Viane","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vichte","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vielsalm","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 7, 6690 Vielsalm,BEL",,,"Created 10 records in table ""Full_Table"""
"Viemme","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Casino 19, 4300 Waremme,BEL",,,"Created 10 records in table ""Full_Table"""
"Viersel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Vierset-Barse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Hamoir 9, 4500 Huy,BEL",,,"Created 10 records in table ""Full_Table"""
"Vierves-sur-Viroin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Albert Ier 20, 5670 Viroinval,BEL",,,"Created 4 records in table ""Full_Table"""
